,Area,BHK,Bathroom,Furnishing,Locality,Price
191,1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",13500000
192,630.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4100000
193,1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",12000000
194,550.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",3500000
195,2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",15000000
196,2800.0,5,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",17500000
197,300.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1900000
198,800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000
199,1295.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",10000000
200,700.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",4700000
201,350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",2400000
202,450.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",3800000
203,2200.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",23000000
204,2300.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",24500000
205,1150.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",10000000
206,800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5500000
207,850.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",7000000
208,720.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",6500000
209,4688.0,5,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",135000000
210,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",5000000
211,3901.0,4,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",93000000
